annee;date_decl;ville_stat;N_INSEE;nom_chev;race;age;sexe;Utilisation;hve1;hvesp;WN;cas;decl,
2008;12.10.2008;ARNAC_POMPADOUR;19011;POULAIN;10;2;3;2;0;1;0;1;1,
2010;12.10.2010;SANDRANS;1393;LAMPIRIS;90;18;2;4;0;0;0;0;1,
2010;12.10.2010;SANDRANS;1393;ZAMPIRIS;90;18;2;1;0;0;NA;0;1,
2011;12.10.2011;FONTAINE_LA_MALLET;76270;INDIANA;NA;NA;NA;4;0;0;0;0;1,
2008;12.11.2008;GUERARD;77219;JASMINE;75;20;1;4;1;0;0;1;1,
2009;12.11.2009;LA_CHAPELLE_HERMIER;85054;MORTIMER;NA;5;3;3;0;0;0;0;1,
2009;12.11.2009;LE_BEAUSSET;83016;POLY;100;7;2;1;0;NA;0;0;1,
2008;12.12.2008;LIEUREY;27367;URANIE;26;0.7;1;3;0;NA;0;0;1,
2009;13.01.2009;ROQUEVAIRE;13086;OURAGAN_;15;5;2;4;0;1;NA;1;1,
2010;13.01.2010;LE_MENIL_DE_BRIOUZE;61260;UNDULLY;97;1;3;4;0;0;0;0;1,
2012;13.01.2012;SAINT_SULPICE_DE_GRIMBOUVILLE;27604;MANOU;86;1;12;1;0;0;NA;0;1,
2007;13.03.2007;MULSANNE;72213;N_MARILLANA;108;0.5;3;NA;0;NA;NA;0;1,
2011;13.04.2011;BOISSY_SAINT_LEGER;94004;VENEON;108;1;3;2;0;0;0;0;1,
2010;13.06.2010;COUERON;44047;DREAM_TEAM;90;16;1;4;1;0;0;1;1,
2006;13.07.2006;SENLISSE;78590;LLORDA;10;13;1;NA;NA;NA;NA;0;1,
2010;13.07.2010;MISSILLAC;44098;SECOND_SCHEDUAL;91;25;2;6;0;0;0;0;1,
2011;13.07.2011;BERNOS_BEAULAC;33046;BLITZ;97;0.2;1;1;0;1;NA;1;1,
2011;13.07.2011;NIEUIL;16245;FELIN_D_AURIOU;108;18;2;4;0;0;0;0;1,
2012;13.08.2012;LOUAN-VILLEGRUIS-FONTAINE;77262;NUAGE_DE_CREPON;108;2;11;4;0;0;NA;0;1,
2012;13.08.2012;LOUAN-VILLEGRUIS-FONTAINE;77262;ROCKEUR;75;2;7;4;0;0;NA;0;1,
2010;13.10.2010;SAINT_DENIS_LES_REBAIS;77406;ECLAIR;18;18;2;2;0;0;0;0;1,
2010;13.11.2010;ENTRAIGUES_SUR_LA_SORGUE;84043;ITALIENNE;18;12;1;4;0;0;0;0;1,
2012;13.11.2012;SAULX_LES_CHARTREUX;91587;DAME_BLANCHE;98;1;10;1;NA;NA;NA;0;1,
2006;13.12.2006;NERAC;47195;NAMIB;10;NA;2;NA;0;NA;NA;0;1,
2012;13.12.2012;CABANNES;13018;BOLEE_DE_SAINT_PIERRE;5;1;1;4;0;1;0;1;1,
2010;14.01.2010;AIXE_SUR_VIENNE;87001;OLYMPE_DE_QUEEN;97;7;1;4;1;0;0;1;1,
2011;14.01.2011;MESSEY_SUR_GROSNE;71296;SALEM_DE_MESSEY;12;5;2;1;0;0;0;0;1,
2011;14.02.2011;BOSC_GUERARD_SAINT_ADRIEN;76123;GALANT;97;NA;2;4;0;0;0;0;1,
2009;14.03.2009;MONTIGNY_SUR_LOING;77312;BONO_DU_LOING;98;3;2;2;0;NA;0;0;1,
2011;14.03.2011;LA_TESTE_DE_BUCH;33529;NOSGIN;90;2;3;2;0;0;0;0;1,
2011;14.04.2011;BETTON;35024;PRINTANIA;91;15;1;5;0;0;0;0;1,
2009;14.05.2009;ISSOUDUN;36088;BLANCHE;75;4;1;1;0;NA;0;0;1,
2009;14.05.2009;ISSOUDUN;36088;NOIRE;75;4;1;1;0;NA;0;0;1,
2010;14.09.2010;LA_NEUVILLE_CHANT_D_OISEL;76464;GRINGO;49;16;2;2;0;0;0;0;1,
2012;14.09.2012;FOURQUES;30117;THALIA;63;1;5;4;NA;NA;0;0;1,
2012;14.11.2012;ALTVILLER;57015;QUOZAK;NA;2;NA;4;0;0;0;0;1,
2012;14.12.2012;SAINT_GERMAIN_EN_LAYE;78551;IRVY;NA;2;17;1;NA;NA;NA;0;1,
2012;14.12.2012;SAINT_GERMAIN_EN_LAYE;78551;PIROUETTE;NA;1;9;1;NA;NA;NA;0;1,
2012;14.12.2012;SAINT_GERMAIN_EN_LAYE;78551;QUESTION;NA;1;7;1;NA;NA;NA;0;1,
2010;15.01.2010;LANDREMONT;54294;FIDJI;75;15;2;2;0;0;0;0;1,
2011;15.01.2011;ENNERY;95211;NINO_du_SAUSSEY;116;10;2;1;1;1;0;1;1,
2010;15.02.2010;VITRY_AUX_LOGES;45346;ANGEL_KISS_GO_GO;92;3;1;4;0;NA;0;0;1,
2012;15.02.2012;TREGLONOU;29290;FEU_FOLET;NA;2;19;1;1;0;NA;1;1,
2008;15.05.2008;ARLES (SALIN_DE_GIRAUD);13004;TANGO_FIRST;16;4;2;1;0;0;NA;0;1,
2009;15.05.2009;TOMBLAINE;54526;PEPSINE;97;28;1;4;0;0;0;0;1,
2011;15.06.2011;BRICQUEVILLE;14107;N11_NARIANNE;108;0.5;1;3;NA;NA;NA;0;1,
2008;15.07.2008;LES_GONDS;17179;TOPAZE_DE_RE;22;0.8;1;4;NA;NA;NA;0;1,
2008;15.07.2008;POIROUX;85179;TISSAO;89;1;3;3;0;NA;NA;0;1,
2012;15.11.2012;LES_BREVIAIRES;78108;TANGO;NA;2;26;4;0;1;NA;1;1,
2010;15.12.2010;ARTHON_EN_RETZ;44005;FIDJI_D_AVRIL;97;17;2;2;0;0;0;0;1,
2009;16.01.2009;LANNILIS;29117;QUIDDITCH;97;5;2;2;0;0;0;0;1,
2012;16.01.2012;COULONCE;61123;N11_MISS_IF_DE_JUPEAU;108;3;0.9;3;0;1;0;1;1,
2009;16.02.2009;CREHANGE;57159;TAIGA;97;23;1;4;0;0;0;0;1,
2009;16.04.2009;PONTCHATEAU;44129;BIMBO;18;NA;NA;1;0;1;0;1;1,
2009;16.04.2009;PONTCHATEAU;44129;CHAUSSETTE;18;9;1;1;0;0;0;0;1,
2010;16.04.2010;REMY;60531;MURMURE_DU_COTINE;97;10;2;4;0;1;0;1;1,
2011;16.04.2011;CHATILLON_LE_DUC;25133;HALVA;18;16;1;3;0;1;0;1;1,
2011;16.08.2011;BEAURECEUIL;13012;NIKITO_DE_LAVAUD;97;10;2;1;0;0;0;0;1,
2011;16.08.2011;FOISSIAT;1163;AILANAH;97;1;1;3;0;1;0;1;1,
2012;16.10.2012;SAINT_HILAIRE_AU_TEMPLE;51485;FAROUCHE;75;2;19;4;NA;NA;NA;0;1,
2006;16.11.2006;FUMICHON;14293;ARMINIA;NA;0.5;1;NA;NA;NA;NA;0;1,
2006;16.11.2006;SAVIGNY_SUR_ORGE;91589;RENOIR;18;23;2;4;1;0;NA;1;1,
2009;16.11.2009;GUERANDE;44069;QUIMBA_DES_CHOUANS;111;5;1;1;0;0;0;0;1,
2008;16.12.2008;SAINT_ETIENNE_SUR_CHALARONNE;1351;ROMANCE;97;3;1;3;0;0;0;0;1,
2011;16.12.2011;NOUSSEVILLER_SAINT_NABOR_;57514;INCHALLAH;20;NA;1;0;0;0;0;0;1,
2006;17.01.2006;DRUCOURT;27207;TRUFFE;18;17;1;1;1;NA;2;1;1,
2009;17.01.2009;JUVIGNY_SUR_SEULLES;14348;PONETTE_POTTOCK;88;4;1;4;0;0;0;0;1,
2012;17.01.2012;SAINT_AUBIN_DE_MEDOC;33376;RAGTIME;54;1;7;5;0;0;0;0;1,
2012;17.02.2012;SAINT_HILAIRE_DES_LANDES;35280;N12_MAJORQUE_D_AHAUT;26;1;0.1;3;0;0;0;0;1,
2012;17.04.2012;CANET;34051;SALEM_DE_VAULPIAC;NA;3;6;4;0;1;0;1;1,
2010;17.05.2010;LE_DRENNEC;29047;VAIRA;86;1;1;1;0;1;0;1;1,
2010;17.05.2010;PLOUBALAY;22209;JOLIE;26;13;1;1;0;0;0;0;1,
